"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"108","30270-7075","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"109","30270-7071","I-Pace","Daylight"," "," ","Y",NA,"Y",NA," "," ","","No Injuries Reported"
"110","30270-7058","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"111","30270-7054","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"112","30270-7048","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"113","31101-7044","Sonata","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"114","31101-7044","",""," "," "," ",NA," ",NA," "," ","",""
"115","30291-7039","Prius","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"116","30270-6981","I-PACE","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"117","30531-7022","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"118","30270-7021","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"119","30270-7020","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"120","30270-7019","I-Pace","Dawn / Dusk"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"121","30270-7018","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"122","30270-7017","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"123","30270-7015","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"124","30270-7014","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"125","30270-7013","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"126","30270-7012","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"127","30270-7010","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"128","30270-7007","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"129","30270-7006","I-Pace","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"130","30450-6958","Camry","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"131","30270-6981","I-PACE","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"132","30330-6882","Cascadia","Daylight"," "," ","Y",NA,"Y",NA," "," ","","No Injuries Reported"
"133","12381-6889","Cascadia","Daylight"," "," ","Y",NA,"Y",NA," "," ","","No Injuries Reported"
"134","30270-6932","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Unknown"
"135","30270-6907","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"136","30270-6906","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","Minor"
"137","30630-6900","RX450H","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"138","30270-6901","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"139","30270-6883","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"140","30270-6879","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"141","30270-6878","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"142","30270-6855","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"143","30531-6864","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"144","30531-6863","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"145","30531-6862","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"146","30270-6857","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"147","30270-6854","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"148","988-6859","579","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"149","30270-6853","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"150","30270-6839","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"151","30270-6838","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"152","30530-6818","579","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"153","540-6400","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"154","30412-6395","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"155","30490-6821","ARMA","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"156","669-6808","IONIQ 5","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"157","30410-6792","Ioniq 5","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"158","30270-6765","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"159","33495-6726","MKZ Hybrid","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"160","33495-6725","MKZ Hybrid","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"161","33495-6720","Pacifica","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"162","30531-6691","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"163","30270-6668","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"164","30270-6666","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"165","30270-6667","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"166","30270-6665","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"167","30270-6664","I-Pace","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"168","30270-6663","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"169","30270-6662","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"170","30270-6661","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"171","30413-6684","Sienna","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"172","540-6468","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"173","30412-6445","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"174","540-6646","AV","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"175","540-6645","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"176","540-6644","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"177","540-6642","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"178","30610-6638","Highlander","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"179","30610-6635","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"180","540-6633","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"181","540-6632","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"182","540-6630","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"183","540-6629","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"184","30270-6579","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"185","30412-6618","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"186","30412-6617","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"187","30412-6616","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"188","30412-6614","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"189","30412-6613","AV","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"190","30412-6598","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"191","30412-6597","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"192","30412-6596","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"193","30610-6592","Highlander","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Minor"
"194","30610-6592","Highlander","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Minor"
"195","30490-6590","ARMA Autonom","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"196","30270-6579","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"197","540-6400","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"198","30412-6395","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"199","30270-6566","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Minor"
"200","988-6565","T680","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"201","30391-6563","T680","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"202","30270-6561","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"203","30531-6532","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"204","30270-6529","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"205","540-6530","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Moderate"
"206","30412-6528","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Moderate"
"207","30270-6548","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"208","30270-6542","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Unknown"
"209","30270-6522","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"210","30531-6533","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"211","30531-6532","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"212","540-6531","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"213","540-6530","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Moderate"
"214","30270-6529","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"215","30412-6528","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Moderate"
"216","30412-6525","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"217","540-6454","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"218","30270-6522","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"219","30270-6521","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"220","30270-6520","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"221","30270-6519","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"222","30270-6518","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"223","30270-6517","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"224","30270-6516","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"225","30270-6515","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"226","30270-6514","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"227","30412-6439","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"228","30792-6492","Leaf","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"229","540-6304","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"230","30412-6167","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"231","540-6472","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"232","540-6470","8AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"233","540-6468","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"234","540-6467","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"235","30610-6373","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"236","30711-6431","MKZ","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"237","540-6462","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"238","540-6461","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"239","540-6455","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"240","540-6454","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Fatality"
"241","540-6453","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"242","540-6452","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"243","540-6451","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"244","30412-6447","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"245","30412-6446","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"246","30412-6445","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"247","30412-6444","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"248","30412-6442","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"249","30412-6441","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"250","30412-6440","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"251","30412-6439","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Fatality"
"252","30412-6438","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"253","30412-6437","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"254","30412-6436","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"255","540-6400","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"256","30270-6385","I-Pace","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"257","30412-6395","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"258","30270-6405","I-Pace","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"259","540-6400","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"260","30412-6395","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Serious"
"261","540-6393","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"262","30270-6385","I-Pace","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"263","30412-6384","AV","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"264","30590-6382","RX 450h","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"265","540-6372","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"266","30412-6371","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"267","540-6369","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"268","30270-6368","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"269","30412-6363","AV","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"270","30490-6360","Arma Autonom DL","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
